TESAURO INTEF – NPROCOMUN,ETB LRE,,,
Cultura Clásica,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS ##968#filosofía##3962#filosofia de la societat##303#cultura##1976#cultura clàssica,,,
Educación Cívica,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##213#educació cívica,,,
Ética,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.90#70.90 ÈTICA/RELIGIÓ/IDEOLOGIA##441#ètica,,,
Filosofía,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##968#filosofía,,,
Historia,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##590#història,,,
Religiones,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.90#70.90 ÈTICA/RELIGIÓ/IDEOLOGIA##1085#religió,,,
Lengua,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##711#lenguas##835#llengües modernes,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##710#ensenyament de llengües,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##749#lingüística,
Literatura,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##758#literatura,,,
Lenguas Extranjeras,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##711#llengües##508#llengua estrangera,,,
Lenguas Clásicas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##711#llengües##219#llengües clàssiques,,,
Ciencias de la Comunicación,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.20#70.20 HUMANITATS##711#llengües##3266#llengua i societat##3459#mitjans de comunicació,,,
Ciencias de la Educación,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.30#70.30 CIÈNCIES SOCIALS I DE LA CONDUCTA##1204#CIÈNCIES SOCIALS##402#ciències de l'educació,,,
Economía,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.30#70.30 CIÈNCIES SOCIALS I DE LA CONDUCTA##1204#CIÈNCIES SOCIALS##383#ciències econòmiques,,,
Formación Empresarial,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.50#70.50 CIÈNCIES APLICADES/TECNOLOGIES/TÈCNIQUES##168#formació empresarial,,,
Geografía,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##977#ciències físiques##372#ciències de la terra##540#geografia,,,
Psicología,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.30#70.30 CIÈNCIES SOCIALS I DE LA CONDUCTA##134#ciències de la conducta##1040#psicologia,,,
Astronomía,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##977#ciències físiques##104#astronomia,,,
Ciencias Biológícas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##143#ciències biològiques,,,
Física,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##977#ciències físiques##978#física,,,
Geología,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##977#ciències físiques##372#ciències de la terra##543#geologia,,,
Química,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##875#ciències de la natura##977#ciències físiques##195#química,,,
Matemáticas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.40#70.40 MATEMÀTIQUES I CIÈNCIES DE LA VIDA##1143#ciències##790#matemàtiques,,,
Tecnologías,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.50#70.50 CIÈNCIES APLICADES/TECNOLOGIES/TÈCNIQUES##1292#tecnologia,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.50#70.50 CIÈNCIES APLICADES/TECNOLOGIES/TÈCNIQUES##78#CIÈNCIES APLICADES##425#ENGINYERIA,,
Informática y Tecnologías de la Información,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.50#70.50 CIÈNCIES APLICADES/TECNOLOGIES/TÈCNIQUES##78#ciències aplicades##256#informàtica,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.50#70.50 CIÈNCIES APLICADES/TECNOLOGIES/TÈCNIQUES##1292#TECNOLOGIA##652#tecnologies de la informació i la comunicació,,
Deportes,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.60#70.60 EDUCACIÓ FÍSICA##974#educació física,,,
Educación Física,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.60#70.60 EDUCACIÓ FÍSICA##974#educació física,,,
Artes Escénicas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##960#arts escèniques,,,
Artes Gráficas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##558#arts gràfiques,,,
Artes Plásticas,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##359#dibuix,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##1153#escultura,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##939#pintura,
Artesanía,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##576#artesania,,,
Diseño,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##,,,
Música,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.80#70.80 ART I ARTESANIA##91#art##856#música,,,
Educación Ambiental,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##431#educació ambiental,,,
Educación Intercultural,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##668#educació intercultural,,,
Educación para el Consumo,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##267#educació per al consum,,,
Educación para la Paz,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##387#educació per a la pau,,,
Educación Sexual y para la Salud,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##1177#educació sexual,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##583#educació per a la salut,,
Educación Vial,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##1102#educació vial,,,
Formación y Orientación Laboral,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##174#educació per al treball,,,
Orientación Académica,M50#50 ENSENYAMENT/FORMACIÓ/AVALUACIÓ/ORIENTACIÓ##569#orientació##276#consell orientador##1452#orientació acadèmica,,,
Tutoría,M50#50 ENSENYAMENT/FORMACIÓ/AVALUACIÓ/ORIENTACIÓ##569#orientació##276#consell orientador##3906#orientació pedagògica,,,
Necesidades educativas especiales,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#educació transversal##4662#logopèdia,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#EDUCACIÓ TRANSVERSAL##3991#fisioteràpia,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#EDUCACIÓ TRANSVERSAL##4873#pedagogia terapèutica,M70#70 CONTINGUT DE L'EDUCACIÓ##M70.70#70.70 ACTIVITATS EXTRAESCOLARS I ÀREES TRANSVERSALS DEL CURRÍCULUM##292#EDUCACIÓ TRANSVERSAL##4205#psicomotricitat
